GeneLabel,t-statistic,p-FDR
CACNA1I,-3.154007688974378,0.02402763696383173
KIFC2,2.7843151299252944,0.03686453372520014
RAB33A,3.0709519005287214,0.02614039054302042
HTR3B,2.7813833068893974,0.037053668281455454
DCLK1,3.8446859906879003,0.014779139836256776
GDA,3.3921665929939206,0.01933003590552269
RGS6,2.713438117181757,0.04017831470523833
MICAL2,2.767348658990907,0.0376114934302247
HOMER1,3.173607840276339,0.023731671347354537
AKAP6,2.80560358339209,0.03601163660916398
CABP1,3.071617246097781,0.02614039054302042
TSPAN5,2.772933399954756,0.03742146588008331
FAM131B,3.205440004742855,0.023547621030732224
GPRASP1,2.794041273591097,0.03635120057596877
CLSTN3,2.8916406246073993,0.032175693531976204
PCDHA9,-2.9696383045726082,0.02952765522991963
RIMS3,2.9652631529596936,0.029778238944187733
ZEB2,-2.6798460178600316,0.04198043862383984
NUAK1,3.14400344921205,0.024199154772396904
ARHGAP44,2.649137125549901,0.0433992360100194
LANCL1,2.888831801955891,0.032175693531976204
CACNG3,3.113129569678965,0.025017039846562394
CACNG2,4.063491493921543,0.011298929847266187
BASP1,-3.2919046960489258,0.021907555274245236
OLFM1,3.2527209059426303,0.022181298264431222
SECISBP2L,-2.626925113909319,0.04484772186649937
POLR3G,-2.7331008103287573,0.039350489351042864
NPM2,3.491934633704837,0.017875167696754332
KHDRBS3,3.627276025458713,0.016647182566304014
CGREF1,3.3942690128093345,0.01933003590552269
FUT9,2.768421267311371,0.0376114934302247
ARPP19,3.512262818344659,0.0175728016589464
B4GAT1,2.917285653192019,0.03114758533831364
STMN2,2.6291540873849586,0.04473804111258027
TPPP,2.5588810466779917,0.049574936763287385
PTPRT,3.6514042208905675,0.016637912430504703
KIF3A,2.902766960137347,0.031796671160742536
NXPH4,-2.863723157408572,0.03312925750387101
GPR75,-4.165521876633869,0.010962825085991236
MLLT11,4.16373245085152,0.010962825085991236
CPEB3,3.1138380088899247,0.025017039846562394
RUFY3,-2.7927049974103824,0.03635120057596877
RIMS1,2.9251111589859615,0.03114758533831364
FAIM2,3.0932061005342217,0.0258040835627398
HECW1,2.693101243713072,0.041203081112994595
MCF2L2,2.681150837924908,0.04192968383636784
RAP1GAP2,2.6114458412561716,0.04588328719031937
ACSBG1,-2.6068612820489276,0.046062446881520086
SYT11,2.713115348229867,0.04017831470523833
PHLPP1,-2.662003251125605,0.04275205300646042
NLGN1,-2.636811387093134,0.044188368513960706
ZNF365,3.350966825908429,0.02040666276290934
R3HDM1,3.9020502070696286,0.013896753099557332
MAPK8IP2,2.8389971663574713,0.034184834917919425
TMEM59L,3.5209336991009983,0.0175728016589464
GCA,3.1162545002404767,0.025017039846562394
SULT4A1,3.0913748809372894,0.025836206687726234
RAB26,2.6244317345418997,0.045038308582641066
KCNE5,-3.434428437725546,0.018855840469996252
KLHL3,-3.0336063592305216,0.027429486133622796
PCDHGA12,-2.674834741830266,0.041998902175817955
ATRNL1,3.450581321488796,0.018855840469996252
CHD5,3.510531796872207,0.0175728016589464
SLITRK5,3.652546362416134,0.016637912430504703
TUBG2,3.4730176222858558,0.01851266836615993
RND1,3.9330499003957704,0.01376212540584566
KCNMB4,2.878747838301221,0.032614892901187915
TMEM121B,3.1802990600050274,0.02369928061165442
PCLO,4.05002763846997,0.011298929847266187
CDH20,-2.7843803800844373,0.03686453372520014
SCG3,3.835083279513079,0.014813761834005663
TAGLN3,4.248519946589329,0.010931522503565525
TFPT,3.0638210308966536,0.026392659856880576
ST8SIA5,3.5706556166047254,0.017183835581433587
TRHDE,3.450253773659167,0.018855840469996252
IQCJ-SCHIP1,3.966668492992066,0.013310875547467491
SCHIP1,3.3837257097389744,0.019546817006840328
PLLP,-2.569502291381401,0.04908189638550221
STMN3,2.9555564696749883,0.029851165570515807
SHANK1,2.7014425022540083,0.04070073824054219
PEX5L,2.874576901654105,0.032686982609200825
RAB6B,4.602195880299587,0.009626877632411409
PACSIN1,3.691047221546586,0.01603465686822133
SOX8,-2.7345411402668325,0.039350489351042864
EHD3,3.263252950882741,0.022181298264431222
GNG13,2.5691189876425997,0.04908189638550221
SGTB,3.052162273673813,0.026733254306670937
SHC3,3.0342780495072406,0.027429486133622796
FXYD6,3.4144407576972866,0.0189895498336896
ELOVL2,-3.488736107689453,0.017875167696754332
LRRC8D,-3.0151087104700105,0.02796975219206902
SLC22A15,-3.4394143866359164,0.018855840469996252
CAMK2N1,2.573245324474716,0.04888148547689356
SLC48A1,-3.1545102495418864,0.02402763696383173
BEX1,2.9506365141086928,0.02994993662696507
SVOP,2.8907172516408925,0.032175693531976204
CYP26B1,2.944549132687804,0.030253818343305813
PRTFDC1,-2.86122584659613,0.03312925750387101
PCDHAC2,5.1243072181207605,0.0068532269742144205
PCDHA13,3.677452836999234,0.016475308307728507
PCDHA10,4.803286025840623,0.009626877632411409
PRX,-2.6229600329027773,0.045115955343461064
SPTBN4,2.648799256972635,0.0433992360100194
